Port_IDs,Composite_Score
4030708912786799105,0.8067397472633742
3936410995029308417,0.418368270461315
3788465932399412480,0.4045048445090428
3956076827719377409,0.402361908033284
4022565861939831809,0.39633481160779105
4028701921959171840,0.39548380885939693
4008711265867865600,0.390496269147935
3960874214179953664,0.3863980723696724
4029507714735307777,0.37146324584856594
4004713168329653760,0.368915046356154
4023697881318718465,0.3667578411675796
4029749871687083265,0.36664192830673126
3998572645139652353,0.3651452388095678
4030555430101054209,0.3641688182112095
4036548677626662656,0.36357304231000664
4023697433751327232,0.36341417014102145
4029422834086627072,0.3630751907991147
4033639786957934336,0.36251813791427984
4029299190618134272,0.36221762651917766
4031173908980084736,0.36209323615824474
